                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2857,                 4.9247,                 1.6024,                0.02941,                0.04286,                0.01161,                0.00295,                 1.9643,                 4.9385,                 1.5937,                 0.0937,                 0.0007,                 0.0007
                      1,                  2.164,                 4.1202,                 1.5493,                0.35506,                0.40496,                0.28298,                0.12369,                 1.7238,                 3.5776,                 1.4822,               0.086441,              0.0014406,              0.0014406
                      2,                 2.0095,                 2.6352,                 1.4257,                0.81844,                0.34803,                 0.4148,                 0.2184,                 1.6366,                 2.8681,                 1.5148,               0.079118,              0.0021178,              0.0021178
                      3,                 1.9111,                  2.035,                 1.3708,                0.68017,                0.50097,                0.52537,                0.26113,                 1.5165,                 3.3506,                 1.3955,               0.071732,              0.0027317,              0.0027317
                      4,                  1.727,                 1.6503,                 1.2911,                0.63567,                0.54644,                0.60259,                0.30627,                  1.503,                 2.3735,                 1.3614,               0.064282,              0.0032822,              0.0032822
                      5,                 1.6635,                  1.497,                 1.2795,                0.63329,                0.65124,                 0.6559,                0.35739,                 1.4292,                 2.1925,                 1.3006,               0.056769,              0.0037694,              0.0037694
                      6,                 1.6443,                 1.3275,                 1.2177,                0.66059,                0.64145,                0.64842,                0.36485,                 1.4707,                  1.979,                 1.3143,               0.049193,              0.0041932,              0.0041932
                      7,                 1.6392,                 1.3133,                 1.2235,                0.61703,                0.68236,                0.67271,                0.34731,                 1.5039,                 1.8914,                 1.3183,               0.041554,              0.0045536,              0.0045536
                      8,                 1.5284,                 1.1571,                 1.1804,                0.78194,                0.63707,                0.71562,                0.38089,                 1.4865,                 1.5251,                 1.3132,               0.033851,              0.0048507,              0.0048507
                      9,                 1.6013,                 1.2093,                 1.1267,                0.66137,                0.73139,                0.72671,                0.39557,                 1.4294,                 1.4642,                 1.2706,               0.026084,              0.0050844,              0.0050844
                     10,                 1.5657,                 1.1506,                 1.1498,                0.59858,                0.69328,                0.71684,                0.42233,                  1.396,                 1.3913,                 1.2162,               0.018255,              0.0052548,              0.0052548
                     11,                 1.5529,                 1.0998,                 1.1568,                0.73195,                0.81626,                0.80704,                0.48244,                 1.3572,                 1.2326,                 1.1669,               0.010362,              0.0053618,              0.0053618
                     12,                 1.4962,                 1.0918,                 1.1227,                 0.8074,                0.81858,                0.81596,                0.46526,                 1.4173,                 1.2381,                 1.1865,               0.005248,               0.005248,               0.005248
                     13,                 1.5452,                 1.0622,                 1.1083,                0.73847,                0.78037,                0.78775,                0.44753,                 1.4379,                 1.1266,                 1.2117,               0.005248,               0.005248,               0.005248
                     14,                 1.4857,                 1.0259,                 1.0851,                0.66372,                0.77434,                0.74733,                0.45651,                 1.4139,                 1.2115,                  1.185,               0.004852,               0.004852,               0.004852
                     15,                 1.4708,                 1.0436,                 1.1142,                0.81649,                0.71367,                0.76489,                0.44946,                 1.4307,                 1.1816,                 1.2131,               0.004456,               0.004456,               0.004456
                     16,                 1.4401,                0.93539,                 1.0717,                0.77025,                0.76062,                0.80304,                0.44863,                 1.4503,                  1.253,                 1.2816,                0.00406,                0.00406,                0.00406
                     17,                 1.3918,                0.88397,                 1.0586,                 0.8388,                0.76819,                 0.8241,                0.45605,                 1.5059,                 1.1891,                 1.2934,               0.003664,               0.003664,               0.003664
                     18,                 1.3439,                0.84148,                 1.0274,                0.84972,                0.76565,                0.84524,                 0.4923,                 1.4155,                 1.0722,                 1.2366,               0.003268,               0.003268,               0.003268
                     19,                 1.3661,                0.84861,                 1.0496,                0.86774,                0.80178,                0.84506,                0.49781,                 1.3808,                0.98996,                 1.1864,               0.002872,               0.002872,               0.002872
                     20,                 1.2898,                0.77889,                 1.0207,                0.87735,                0.79798,                0.85142,                0.49265,                 1.3848,                0.97363,                 1.1765,               0.002476,               0.002476,               0.002476
                     21,                  1.325,                0.78581,                 1.0232,                0.91202,                0.78567,                0.85227,                0.50174,                 1.3777,                0.97474,                 1.1771,                0.00208,                0.00208,                0.00208
                     22,                  1.279,                0.77404,                 1.0171,                0.94301,                0.77441,                0.86412,                0.52857,                 1.3858,                0.93733,                 1.1709,               0.001684,               0.001684,               0.001684
                     23,                 1.2426,                0.73612,                0.98849,                0.92819,                0.78844,                0.87925,                0.51885,                 1.3717,                0.92691,                 1.1537,               0.001288,               0.001288,               0.001288
                     24,                 1.2256,                0.71456,                0.98341,                0.94364,                0.79681,                0.88686,                0.51242,                 1.3698,                0.90684,                 1.1489,               0.000892,               0.000892,               0.000892
